ean,title,brand,category,price,promo_price,available,seller_type
5038061155587,Rasoir rechargeable R3002 Style Series Rotary Shaver R3 REMINGTON,REMINGTON,Beauté et Santé,49.99,34.99,True,carrefour
5038061164688,Rasoir rechargeable XR1795 X9 Limitless X Rotary Shaver REMINGTON,REMINGTON,Beauté et Santé,139.99,97.99,True,carrefour
5038061174700,Lisseur Air Styler 2 en 1 AIRvive AS8930 REMINGTON,REMINGTON,Beauté et Santé,129.99,90.99,True,carrefour
5407005980446,Brosse à dents Sonique 3 en 1 HAEPI,HAEPI,Beauté et Santé,69.99,59.99,True,carrefour
5996415036794,Tondeuse multifonctions WAHL,WAHL,Beauté et Santé,64.99,51.99,True,carrefour
5996415036879,Tondeuse barbe Extreme Grip WAHL,WAHL,Beauté et Santé,34.99,27.99,True,carrefour
5996415037272,Tondeuse cheveux Rapid Clip WAHL,WAHL,Beauté et Santé,44.99,34.99,True,carrefour
8006540771457,Brosse à dents électrique Pro Series 1 - Noire ORAL-B,ORAL-B,Beauté et Santé,49.99,34.99,True,carrefour
8710103859673,Tondeuse cheveux HC3505/15 PHILIPS,PHILIPS,Beauté et Santé,19.99,15.99,True,carrefour
8710103897835,Tondeuse multifonctions HC5612/15 PHILIPS,PHILIPS,Beauté et Santé,35.99,28.79,True,carrefour
8710103897903,Tondeuse cheveux HC7650/15 PHILIPS,PHILIPS,Beauté et Santé,79.99,63.99,True,carrefour
8710103935476,Epilateur BRE700/00 PHILIPS,PHILIPS,Beauté et Santé,63.99,51.19,True,carrefour
8710103961901,Sèche-cheveux BHD308/00 PHILIPS,PHILIPS,Beauté et Santé,25.99,20.79,True,carrefour
8710103970316,Tondeuse cheveux Hairclipper Series 3000 PHILIPS,PHILIPS,Beauté et Santé,29.99,23.99,True,carrefour
8720689002813,Brosse soufflante BHA530/00 PHILIPS,PHILIPS,Beauté et Santé,59.99,47.99,True,carrefour
8720689007894,Rasoir électrique homme S7882/55 PHILIPS,PHILIPS,Beauté et Santé,169.99,135.99,True,carrefour
8720689008082,Rasoir électrique homme S5898/35 PHILIPS,PHILIPS,Beauté et Santé,96.99,77.59,True,carrefour
8720689008167,Rasoir s7886/35 PHILIPS,PHILIPS,Beauté et Santé,159.99,127.99,True,carrefour
8720689008525,Rasoir S5898/79 PHILIPS,PHILIPS,Beauté et Santé,219.99,175.99,True,carrefour
8720689011020,Rasoir électrique homme S5467/17 PHILIPS,PHILIPS,Beauté et Santé,89.99,71.99,True,carrefour
8720689011037,Jet dentaire sans fil Sonicare Serie 3000 HX3826/31 PHILIPS,PHILIPS,Beauté et Santé,99.99,79.99,True,carrefour
8720689017244,Epilateur Lumière Pulsée BRI924/00 PHILIPS,PHILIPS,Beauté et Santé,459.99,367.99,True,carrefour
8720689018555,Rasoir électrique Series 3000 S3144/00 PHILIPS,PHILIPS,Beauté et Santé,59.99,47.99,True,carrefour
8720689018609,Rasoir électrique homme S3244/12 PHILIPS,PHILIPS,Beauté et Santé,79.99,63.99,True,carrefour
8720689019040,Rasoir électrique homme X3002/00 PHILIPS,PHILIPS,Beauté et Santé,49.99,39.99,True,carrefour
8720689019538,Tondeuse multifonctions MG9553/15 PHILIPS,PHILIPS,Beauté et Santé,109.99,87.99,True,carrefour
8720689021623,Brosse à dents sonicare HX7411/01 PHILIPS,PHILIPS,Beauté et Santé,159.99,127.99,True,carrefour
8720689025218,BROSSE A DENTS SONICARE HX7101/03 Brosse à Dents PHILIPS,PHILIPS,Beauté et Santé,99.99,79.99,True,carrefour
8720689026543,Tondeuse multifonction 7 en 1 MG3920/15 PHILIPS,PHILIPS,Beauté et Santé,32.99,26.39,True,carrefour
8720689026611,Tondeuse MG3940/15 8 en 1 PHILIPS,PHILIPS,Beauté et Santé,39.99,31.99,True,carrefour
8720689027199,Tondeuse multifonctions Oneblade QP6552/15 PHILIPS,PHILIPS,Beauté et Santé,69.99,55.99,True,carrefour
8720689027298,Tondeuse multifonctions Oneblade QP6652/61 PHILIPS,PHILIPS,Beauté et Santé,86.99,69.59,True,carrefour
8720689029322,Tondeuse Barbe BT3615/15 PHILIPS,PHILIPS,Beauté et Santé,32.99,26.39,True,carrefour
8720689029346,Tondeuse barbe BT3620/15 PHILIPS,PHILIPS,Beauté et Santé,37.99,30.39,True,carrefour
8720689030045,Rasoir rechargeable X9002/10 PHILIPS,PHILIPS,Beauté et Santé,199.99,159.99,True,carrefour
