ean,title,brand,category,price,promo_price,available,seller_type,scraped_at,source_file
0023942470229,Verbatim Pro 64 Go Sdxc Uhs Classe 10,VERBATIM,Smartphones et Objets connectés,26.99,19.55,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942470410,Verbatim Pro 32 Go Microsdhc Uhs Classe 10,VERBATIM,Smartphones et Objets connectés,20.03,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942470427,Verbatim Pro 64 Go Microsdxc Uhs Classe 10,VERBATIM,Smartphones et Objets connectés,22.15,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942470441,Verbatim Pro 128 Go Microsdxc Uhs-i Classe 10,VERBATIM,Smartphones et Objets connectés,35.27,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942495529,Chargeur Sans Fil Multiposition Avec Support Verbatim Fwc-01,VERBATIM,Smartphones et Objets connectés,31.74,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942495536,Chargeur Sans Fil Multiposition Avec Support Verbatim Fwc-02,VERBATIM,Smartphones et Objets connectés,36.86,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0023942497011,Verbatim 49700 Universale Bianco Ac Ricarica Rapida Interno,VERBATIM,Smartphones et Objets connectés,20.99,15.08,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0026815324513,Sac A Dos Pour Appareil Photo Tenba 632451,TENBA,Smartphones et Objets connectés,188.05,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242898097,Carte Mémoire Sony Sdxc 64 Go Uhs Ii,SONY,Smartphones et Objets connectés,1119.1,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242898103,Sony 128gb Sdxc 128 Go Uhs-ii Classe 10,SONY,Smartphones et Objets connectés,159.9,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242900028,Cartes Xqd Sony Qdr 32 E,SONY,Smartphones et Objets connectés,258.4,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242908338,Sony Carte Sd Tough 128 Go R300/w299 - Sf-g128t/t1,SONY,Smartphones et Objets connectés,355.37,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242916289,Sony Carte Cfexpress Tough Type B 512 Go,SONY,Smartphones et Objets connectés,524.67,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242917941,Sony Sf-m128t 128 Go Sdxc Uhs-ii Classe 10,SONY,Smartphones et Objets connectés,183.96,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242917958,Carte Secure Digital Sony Tough Sf-m 256 Go Sdxc Uhs-ii U3 V60 Noir,SONY,Smartphones et Objets connectés,307.76,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242926363,Carte Mémoire Sony Tough Sf-g Sdxc 256 Go Uhs-ii U3 V90 Ip68 Noir,SONY,Smartphones et Objets connectés,596.11,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242926370,"Carte Mémoire Sdxc Uhs-ii Tough 512 Go Noir 24 X 32 X 2,1 Mm Sony",SONY,Smartphones et Objets connectés,545.56,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0027242926387,Carte Mémoire Sdxc Uhs-ii Classe 10 U3 V60 512 Go Noire Sony,SONY,Smartphones et Objets connectés,520.24,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0028fab1-be3d-4bcb-8309-5cab4fae833b,Iphone Air 256 Go Or Clair Reconditionné Excellent Etat Batterie D'origine,APPLE,Smartphones et Objets connectés,855.8,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0042420060905,Commutation Video Hexakit Hv 6983,HEXAKIT,Smartphones et Objets connectés,34.38,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0049720024934,Station De Charge Incharge Duo Plus Pour Ipad/iphone/ipod,Non spécifié,Smartphones et Objets connectés,51.99,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0050743657573,Smartwatch Pour Enfants Little Tikes Tobi 2 Robot Rouge,LITTLE TIKES,Smartphones et Objets connectés,118.99,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0051122308017,"Imation Link Power Drive 16gb Lithium Polymère (lipo) 3000 Mah Argent, Blanc",IMATION,Smartphones et Objets connectés,90.71,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0051128774366,"3m 7000013838 Schermo Anti-riflesso Filtro Per La Privacy Senza Bordi Per Display 43,2 Cm (17"")",3M,Smartphones et Objets connectés,89.19,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030850582,Startech.com Usblt1mb Câble Lightning,STARTECH.COM,Smartphones et Objets connectés,25.28,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030850599,Startech.com Usblt1mw Câble Lightning,STARTECH.COM,Smartphones et Objets connectés,25.79,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030850674,Startech.com Usblt2mb Câble Lightning,STARTECH.COM,Smartphones et Objets connectés,30.31,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030850681,Startech.com Usblt2mw Câble Lightning,STARTECH.COM,Smartphones et Objets connectés,26.89,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030851763,Startech.com Usblt3mw Câble Lightning,STARTECH.COM,Smartphones et Objets connectés,30.91,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030859677,"Startech.com Chargeur Mural Usb À 2 Ports - Haute Puissance (17 W / 3,4 A) - Chargeur De Voyage International",STARTECH.COM,Smartphones et Objets connectés,30.25,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030860673,"Startech.com Chargeur Mural Usb À 2 Ports - Haute Puissance 17w / 3,4a - Chargeur De Voyage International - Blanc",STARTECH.COM,Smartphones et Objets connectés,29.28,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030866064,Startech.com Usb2pcarwhs Chargeur D'appareils Mobiles Blanc Auto,STARTECH.COM,Smartphones et Objets connectés,22.84,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030867184,Chargeur Portable Startech Sva12m5na,STARTECH,Smartphones et Objets connectés,81.07,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030868181,Startech.com Sdmsdrwu3ac Lecteur De Carte Mémoire Usb 3.2 Gen 1 (3.1 Gen 1) Type-a/type-c Noir,STARTECH.COM,Smartphones et Objets connectés,21.71,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030883818,Chargeur Usb C Startech.com Wch1ceu 60w Pd Blanc,STARTECH.COM,Smartphones et Objets connectés,55.4,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030886710,"Startech.com Privscnmon27 Schermo Anti-riflesso 68,6 Cm (27"")",STARTECH,Smartphones et Objets connectés,116.63,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030886727,"Startech.com Privscnmac15 Schermo Anti-riflesso 38,1 Cm (15"")",STARTECH,Smartphones et Objets connectés,71.73,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030900560,Startech.com 173l-privacy-screen Filtre Anti-reflets Pour Écran Et Filtre De Confidentialité Filtre De Confidentialité,STARTECH,Smartphones et Objets connectés,57.99,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030906494,"Startech.com Filtre De Confidentialité 4 Directions Pour Iphone 15, Orientation Portrait/paysage, Écran De",STARTECH,Smartphones et Objets connectés,50.81,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030907187,"Startech.com Cavo Usb-c Da 1m, Cavo Di Ricarica Usb-c, Cavo Usb 2.0 Tipo-c Per Laptop, 60w 3a Power Delivery,",STARTECH,Smartphones et Objets connectés,9.62,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030907194,"Startech.com Cavo Usb-c Da 2m, Cavo Di Ricarica Usb-c, Cavo Usb 2.0 Tipo-c Per Laptop, 60w 3a Power Delivery,",STARTECH,Smartphones et Objets connectés,13.62,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030909150,"Startech.com Câble De Recharge Usb-c De 1m, Cordon Usb-c Certifié Usb-if, 240w Pd Epr, Câble Chargeur Usb 2.0 Type-c",STARTECH,Smartphones et Objets connectés,19.05,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030909167,Cable De Chargement Usb-c Type-c,STARTECH,Smartphones et Objets connectés,21.04,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030909594,"Startech.com Câble De Charge Usb-c De 3m, Charge Et Synchronisation, 60w (3a) Pd, Câble De Charge Usb 2.0 Pour",STARTECH,Smartphones et Objets connectés,16.3,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030910231,"Startech.com Câble De Charge Usb-c De 4m, Charge Et Synchronisation, 240w (5a) Pd Epr, Câble De Charge Usb 2.0 Pour",STARTECH,Smartphones et Objets connectés,22.46,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030912471,"Startech.com Filtre De Confidentialité 4 Directions Pour Iphone 15 Plus, Supporte L'orientation Portrait/paysage,",STARTECH,Smartphones et Objets connectés,51.99,47.92,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030912488,"Startech.com Filtre De Confidentialité 4 Directions Pour Iphone 15 Pro, Supporte L'orientation Portrait/paysage, Tactile",STARTECH,Smartphones et Objets connectés,47.94,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030912495,"Startech.com Filtre De Confidentialité 4 Directions Pour Iphone 15 Pro Max, Supporte L'orientation Portrait/paysage,",STARTECH,Smartphones et Objets connectés,49.95,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030916790,"Startech.com Cavo Di Ricarica Usb-c Da 2m, Chiusura A Vite Laterale, 240w (5a) Pd Epr, Rivestimento In Silicone Con",STARTECH,Smartphones et Objets connectés,27.38,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030916806,"Startech.com Cavo Di Ricarica Usb-c Da 3m, Chiusura A Vite Laterale, 240w (5a) Pd Epr, Rivestimento In Silicone Con",STARTECH,Smartphones et Objets connectés,26.76,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030920674,"Startech.com Filtro Privacy Per Iphone 16 A 4 Direzioni E 360°, Supporta Orientamento Verticale/orizzontale, Touch",STARTECH,Smartphones et Objets connectés,47.78,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030920681,"Startech.com Filtre De Confidentialité Pour Iphone 16 Plus À 4 Directions Et 360°, Supporte L'orientation",STARTECH,Smartphones et Objets connectés,46.43,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030920698,"Startech.com Filtre De Confidentialité Pour Iphone 16 Pro À 4 Directions Et 360°, Supporte L'orientation",STARTECH,Smartphones et Objets connectés,51.92,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0065030920704,"Startech.com Filtre De Confidentialité Pour Iphone 16 Pro Max À 4 Directions Et 360°, Supporte L'orientation",STARTECH,Smartphones et Objets connectés,51.92,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0076055782352,Transcend 1000x Compactflash 32gb 32 Go Mlc,TRANSCEND,Smartphones et Objets connectés,233.89,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0088021812543,Iridium Go! Hotspot Wi-fi Satellite,Non spécifié,Smartphones et Objets connectés,1197.34,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0091661417245,Protection Pour Téléphone Portable Gc Watches L01005g2 Noir,GC WATCHES,Smartphones et Objets connectés,64.32,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0091661429446,Protection Pour Téléphone Portable Gc Watches L08001l1 Noir,GC WATCHES,Smartphones et Objets connectés,102.25,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
0094664029965,steelie Dash Mount Ball,Non spécifié,Smartphones et Objets connectés,30.58,,True,marketplace,2026-08-08T18:41:22.940703+00:00,carrefour_smartphones.csv
