ean,title,brand,category,price,promo_price,available,seller_type
8720689025416,BROSSE A DENTS SONICARE HX7103/01 Brosse à Dents PHILIPS,PHILIPS,Beauté et Santé,69.99,,True,carrefour
0761318352228,Brosse chauffante RVDR5222E REVLON,REVLON,Beauté et Santé,39.99,,True,carrefour
3030050154856,Sèche-cheveux super pro - 6714E BABYLISS,BABYLISS,Beauté et Santé,49.99,,True,carrefour
3030050192995,Lisseur Pro Onyx-ST484E BABYLISS,BABYLISS,Beauté et Santé,119.99,,True,carrefour
3474636819713,Lisseur Steampod 3.0 L'OREAL,L'OREAL,Beauté et Santé,249.99,,True,carrefour
8007403117283,Sèche-cheveux P3 3400 BELLISSIMA,BELLISSIMA,Beauté et Santé,34.99,,True,carrefour
8710103701583,Tondeuse multifonctions MG1100/16 PHILIPS,PHILIPS,Beauté et Santé,19.99,,True,carrefour
8710103786313,Tondeuse multifonctions MG3740/15 PHILIPS,PHILIPS,Beauté et Santé,49.99,,True,carrefour
8720689007863,Rasoir électrique homme S5887/10 PHILIPS,PHILIPS,Beauté et Santé,99.99,,True,carrefour
3030050153231,Tondeuse cheveux E976E BABYLISS,BABYLISS,Beauté et Santé,39.99,,True,carrefour
4895271300227,Masque LED Artemis Blush E100B-1 RENPHO,RENPHO,Beauté et Santé,159.99,,True,carrefour
8710103897842,Tondeuse cheveux HC5630/15 PHILIPS,PHILIPS,Beauté et Santé,44.99,,True,carrefour
8710103904014,Lisseur HP8321/40 PHILIPS,PHILIPS,Beauté et Santé,29.99,,True,carrefour
0043917000336,Tondeuse cheveux Home Pro 9243-2616 WAHL,WAHL,Beauté et Santé,24.99,,True,carrefour
0043917006109,Tondeuse barbe Deluxe Travel Kit WAHL,WAHL,Beauté et Santé,24.99,,True,carrefour
0043917039305,Tondeuse Self clip 360 WAHL,WAHL,Beauté et Santé,59.99,,True,carrefour
0043917039312,Tondeuse Elite Groom WAHL,WAHL,Beauté et Santé,74.99,,True,carrefour
0043917047997,Tondeuse Multifonction All-In-One 0096-5015 WAHL,WAHL,Beauté et Santé,29.99,,True,carrefour
0043917997056,Tondeuse cheveux Color Pro Cordless 9649-016 WAHL,WAHL,Beauté et Santé,22.99,,True,carrefour
0622356271622,Sèche-cheveux HD33EU - 3 accessoires - blanc soie - 1700W SHARK,SHARK,Beauté et Santé,139.99,,True,carrefour
3030050069402,Boucleur 19 mm Curling Tong - C319E BABYLISS,BABYLISS,Beauté et Santé,18.99,,True,carrefour
3030050145878,Tondeuse barbe Triple S BABYLISS,BABYLISS,Beauté et Santé,59.99,,True,carrefour
3030050153118,Tondeuse multifonctions MT725E BABYLISS,BABYLISS,Beauté et Santé,26.99,,True,carrefour
3030050153125,Tondeuse multifonctions MT726E BABYLISS,BABYLISS,Beauté et Santé,23.99,,True,carrefour
3030050153200,Tondeuse cheveux E756E BABYLISS,BABYLISS,Beauté et Santé,19.99,,True,carrefour
3030050153569,Tondeuse cheveux E786E BABYLISS,BABYLISS,Beauté et Santé,39.99,,True,carrefour
3030050153644,Boucleur 25 mm Curling Tong - C451E BABYLISS,BABYLISS,Beauté et Santé,39.99,,True,carrefour
3030050154290,Lisseur super smooth ST391E BABYLISS,BABYLISS,Beauté et Santé,46.99,,True,carrefour
3030050158069,Tondeuse multifonctions MT861E BABYLISS,BABYLISS,Beauté et Santé,34.99,,True,carrefour
